"id","name","edible_portion","food_type","processing_method","ingredient_category","food_category","ingredient_category2","food_category2"
7632,"Ham and potato casserole, cooking cream",100,"Dish","Baked in oven","Dish","Meat casseroles","Non-ingredient","Meat dishes"
7633,"Ham vegetable gravy, milk, creme fraiche",100,"Dish","Boiled","Dish","Meat hot-pot","Non-ingredient","Meat dishes"
7634,"Sausage salad, macaroni, vegetables, without dressing",100,"Dish","Mixed","Dish","Mixed salads","Non-ingredient","Prepared salads"
7635,"Ham salad with potato, vegetables and macaroni, without dressing",100,"Dish","Mixed","Dish","Mixed salads","Non-ingredient","Prepared salads"
7641,"Sausage, ring bologna, fried without fat",100,"Dish","Fried","Dish","Sausage dishes","Non-ingredient","Meat dishes"
7643,"Frankfurter, fried without fat",100,"Dish","Fried","Dish","Sausage dishes","Non-ingredient","Meat dishes"
7647,"Groat sausage, fried without fat",100,"Dish","Fried","Dish","Sausage dishes","Non-ingredient","Meat dishes"
7850,"Liver, boiled, salt",100,"Dish","Boiled","Dish","Offal dishes","Non-ingredient","Meat dishes"
7851,"Roasted liver",100,"Dish","Baked in oven","Dish","Offal dishes","Non-ingredient","Meat dishes"
7852,"Liver steak, breaded, fried",100,"Dish","Fried","Dish","Offal dishes","Non-ingredient","Meat dishes"
7853,"Minced liver steak, liver, potato, onion",100,"Dish","Fried","Dish","Offal dishes","Non-ingredient","Meat dishes"
7854,"Reindeer liver steak",100,"Dish","Fried","Dish","Offal dishes","Non-ingredient","Meat dishes"
7855,"Liver gravy, cooking cream",100,"Dish","Boiled","Dish","Offal dishes","Non-ingredient","Meat dishes"
7856,"Chicken liver gravy, cooking cream",100,"Dish","Boiled","Dish","Offal dishes","Non-ingredient","Meat dishes"
7857,"Minced liver gravy",100,"Dish","Boiled","Dish","Offal dishes","Non-ingredient","Meat dishes"
7863,"Liver stew with potato",100,"Dish","Boiled","Dish","Offal dishes","Non-ingredient","Meat dishes"
7865,"Kidney, boiled, salt",100,"Dish","Boiled","Dish","Offal dishes","Non-ingredient","Meat dishes"
7866,"Kidney, fried with wheat flour",100,"Dish","Fried","Dish","Offal dishes","Non-ingredient","Meat dishes"
7867,"Kidney gravy, cooking cream, thickened",100,"Dish","Boiled","Dish","Offal dishes","Non-ingredient","Meat dishes"
7869,"Tongue, beef, boiled",100,"Dish","Boiled","Dish","Offal dishes","Non-ingredient","Meat dishes"
7871,"Blood pancake",100,"Dish","Fried","Dish","Offal dishes","Non-ingredient","Meat dishes"
7876,"Liver casserole, rice, low-fat milk",100,"Dish","Baked in oven","Dish","Meat casseroles","Non-ingredient","Meat dishes"
8000,"Fish, average, boiled",100,"Dish","Boiled","Dish","Fish","Non-ingredient","Fish dishes"
8001,"Lutefish",100,"Dish","Boiled","Dish","Fish","Non-ingredient","Fish dishes"
8002,"Fish, average, grilled",100,"Dish","Grilled, broiled","Dish","Fish","Non-ingredient","Fish dishes"
8003,"Fish, breaded, oven-baked",100,"Dish","Baked in oven","Dish","Fish","Non-ingredient","Fish dishes"
8004,"Pike, filled with prunes, rice and eggs, oven-baked",100,"Dish","Baked in oven","Dish","Fish","Non-ingredient","Fish dishes"
8005,"Baltic herring fillet with cream, breaded, oven-baked",100,"Dish","Baked in oven","Dish","Fish","Non-ingredient","Fish dishes"
8006,"Fish, average, breaded, fried",100,"Dish","Fried","Dish","Fish","Non-ingredient","Fish dishes"
8007,"Baltic herring, breaded, fried",100,"Dish","Fried","Dish","Fish","Non-ingredient","Fish dishes"
8008,"Vendace, fried",100,"Dish","Fried","Dish","Fish","Non-ingredient","Fish dishes"
8009,"Perch, breaded, fried",100,"Dish","Fried","Dish","Fish","Non-ingredient","Fish dishes"
8010,"Pike, breaded, fried",100,"Dish","Fried","Dish","Fish","Non-ingredient","Fish dishes"
8011,"Powan, breaded, fried",100,"Dish","Fried","Dish","Fish","Non-ingredient","Fish dishes"
8012,"Salmon fillet, breaded, fried",100,"Dish","Fried","Dish","Fish","Non-ingredient","Fish dishes"
8013,"Flounder, fried",100,"Dish","Fried","Dish","Fish","Non-ingredient","Fish dishes"
8014,"Saithe, breaded, fried",100,"Dish","Fried","Dish","Fish","Non-ingredient","Fish dishes"
8017,"Fish ball, fried",100,"Dish","Fried","Dish","Other fish dishes","Non-ingredient","Fish dishes"
8018,"Fish ball, boiled",100,"Dish","Boiled","Dish","Other fish dishes","Non-ingredient","Fish dishes"
8019,"Fish loaf, milk",100,"Dish","Baked in oven","Dish","Other fish dishes","Non-ingredient","Fish dishes"
8020,"Fish soup, fresh fish, milk based",100,"Dish","Boiled","Dish","Fish soups","Non-ingredient","Fish dishes"
8021,"Fish soup, saithe, low-fat milk",100,"Dish","Boiled","Dish","Fish soups","Non-ingredient","Fish dishes"
8022,"Fish soup, clear",100,"Dish","Boiled","Dish","Fish soups","Non-ingredient","Fish dishes"
8023,"Russian fish soup, solyanka",100,"Dish","Boiled","Dish","Fish soups","Non-ingredient","Fish dishes"
8024,"Fish soup with potato and root vegetables",100,"Dish","Boiled","Dish","Fish soups","Non-ingredient","Fish dishes"
8029,"Burbot stew",100,"Dish","Boiled","Dish","Fish soups","Non-ingredient","Fish dishes"
8030,"Baltic herring casserole, potato, low-fat milk",100,"Dish","Baked in oven","Dish","Fish casseroles","Non-ingredient","Fish dishes"
8031,"Fish and potato casserole, low-fat milk",100,"Dish","Baked in oven","Dish","Fish casseroles","Non-ingredient","Fish dishes"
8032,"Fish and rice casserole, cream",100,"Dish","Baked in oven","Dish","Fish casseroles","Non-ingredient","Fish dishes"
8033,"Jansson's casserole, jansson's temptation, cooking cream",100,"Dish","Baked in oven","Dish","Fish casseroles","Non-ingredient","Fish dishes"
8034,"Macaroni and fish casserole, fish average, low-fat milk",100,"Dish","Baked in oven","Dish","Fish casseroles","Non-ingredient","Fish dishes"
8035,"Saithe spinach casserole, low-fat milk",100,"Dish","Baked in oven","Dish","Fish casseroles","Non-ingredient","Fish dishes"
8038,"Fish vegetable casserole, milk, egg",100,"Dish","Baked in oven","Dish","Fish casseroles","Non-ingredient","Fish dishes"
8039,"Fish potato stew",100,"Dish","Boiled","Dish","Fish soups","Non-ingredient","Fish dishes"
8041,"Baltic herring in tomato sauce",100,"Dish","Baked in oven","Dish","Fish","Non-ingredient","Fish dishes"
8042,"Pike � la homburg",100,"Dish","Baked in oven","Dish","Fish","Non-ingredient","Fish dishes"
8043,"Saithe with white sauce, cheese, low-fat milk, breadcrumbs, oven-baked",100,"Dish","Baked in oven","Dish","Fish","Non-ingredient","Fish dishes"
8046,"Fish vegetable casserole, saithe, vegetables, processed cheese, milk",100,"Dish","Baked in oven","Dish","Fish casseroles","Non-ingredient","Fish dishes"
8047,"Tuna salad with potato, without dressing",100,"Dish","Mixed","Dish","Mixed salads","Non-ingredient","Prepared salads"
8048,"Salad with smoked fish, lettuce and egg, without dressing",100,"Dish","Mixed","Dish","Mixed salads","Non-ingredient","Prepared salads"
8050,"Salad with smoked fish, chives, potato and beetroot, without dressing",100,"Dish","Mixed","Dish","Mixed salads","Non-ingredient","Prepared salads"
8051,"Salad with smoked fish, cottage cheese, peas, without dressing",100,"Dish","Mixed","Dish","Mixed salads","Non-ingredient","Prepared salads"
8053,"Shellfish and mushroom salad, without dressing",100,"Dish","Mixed","Dish","Mixed salads","Non-ingredient","Prepared salads"
8060,"Salmon soup, milk based",100,"Dish","Boiled","Dish","Fish soups","Non-ingredient","Fish dishes"
